role_id,role_name
1,soundtrack
2,actor
3,miscellaneous
4,actress
5,music department
6,writer
7,director
8,producer
9,stunts
10,make up department
11,composer
12,assistant director
13,camera department
14,music artist
15,editor
16,cinematographer
17,casting director
18,script department
19,art director
20,costume department
21,animation department
22,art department
23,executive
24,special effects
25,production designer
26,production manager
27,editorial department
28,sound department
29,talent agent
30,casting department
31,costume designer
32,visual effects
33,location management
34,set decorator
35,transportation department
36,manager
37,publicist
38,legal
39,assistant
40,podcaster
41,production department
42,choreographer
43,electrical department
