talent_id,role_id,order
nm9775152,28,2
nm9775153,2,1
nm9775154,3,1
nm9775155,16,1
nm9775156,13,1
nm9775159,22,1
nm9775160,27,1
nm9775161,18,1
nm9775163,7,1
nm9775163,6,2
nm9775163,8,3
nm9775165,21,1
nm9775170,4,1
nm9775176,20,1
nm9775177,27,1
nm9775178,28,1
nm9775181,8,1
nm9775182,2,1
nm9775183,2,1
nm9775184,12,1
nm9775185,12,1
nm9775188,9,1
nm9775189,2,1
nm9775190,2,1
nm9775201,13,1
nm9775201,8,2
nm9775202,28,1
nm9775203,3,1
nm9775204,2,1
nm9775209,13,1
nm9775211,7,1
nm9775212,4,1
nm9775213,28,1
nm9775214,18,1
nm9775215,4,1
nm9775221,2,1
nm9775221,8,2
nm9775222,2,1
nm9775223,2,1
nm9775224,2,1
nm9775225,35,1
nm9775225,3,2
nm9775226,4,1
nm9775227,4,1
nm9775228,2,1
nm9775229,2,1
nm9775243,7,1
nm9775243,6,2
nm9775243,11,3
nm9775244,8,1
nm9775244,7,2
nm9775244,2,3
nm9775245,4,1
nm9775246,2,1
nm9775246,3,2
nm9775246,8,3
nm9775247,13,1
nm9775247,16,2
nm9775247,2,3
nm9775248,2,1
nm9775250,4,1
nm9775251,4,1
nm9775252,4,1
nm9775252,8,2
nm9775254,11,1
nm9775255,8,1
nm9775256,8,1
nm9775259,13,1
nm9775261,7,1
nm9775261,2,2
nm9775261,6,3
nm9775262,4,1
nm9775263,4,1
nm9775264,2,1
nm9775265,15,1
nm9775266,10,1
nm9775269,3,1
nm9775270,22,1
nm9775271,12,1
nm9775272,13,1
nm9775273,5,1
nm9775274,18,1
nm9775275,3,1
nm9775276,3,1
nm9775277,2,1
nm9775278,21,1
nm9775280,4,1
nm9775281,2,1
nm9775282,6,1
nm9775282,15,2
nm9775282,7,3
nm9775283,16,1
nm9775284,12,1
nm9775284,15,2
nm9775284,3,3
nm9775285,13,1
nm9775285,16,2
nm9775285,27,3
nm9775299,30,1
nm9775299,22,2
nm9775299,3,3
nm9775302,2,1
nm9775302,7,2
nm9775302,6,3
nm9775304,2,1
nm9775304,6,2
nm9775305,8,1
nm9775305,6,2
nm9775305,28,3
nm9775306,11,1
nm9775306,2,2
nm9775306,5,3
nm9775307,2,1
nm9775307,11,2
nm9775307,13,3
nm9775308,15,1
nm9775308,16,2
nm9775308,27,3
nm9775309,2,1
nm9775310,16,1
nm9775311,2,1
nm9775312,2,1
nm9775313,4,1
nm9775314,2,1
nm9775315,4,1
nm9775316,2,1
nm9775317,2,1
nm9775317,9,2
nm9775317,3,3
nm9775318,2,1
nm9775318,16,2
nm9775318,20,3
nm9775320,4,1
nm9775320,6,2
nm9775320,8,3
nm9775321,10,1
nm9775322,2,1
nm9775323,2,1
nm9775323,3,2
nm9775325,4,1
nm9775326,7,1
nm9775326,6,2
nm9775326,13,3
nm9775327,20,1
nm9775328,10,1
nm9775329,10,1
nm9775330,5,1
