talent_id,title_id
nm9878072,tt9189200
nm9878074,tt8075356
nm9878074,tt8493984
nm9878075,tt8383332
nm9878076,tt1494829
nm9878076,tt1519931
nm9878076,tt0756509
nm9878077,tt8383332
nm9878078,tt8495296
nm9878079,tt8495296
nm9878080,tt8495298
nm9878080,tt15036538
nm9878080,tt15210602
nm9878081,tt7405458
nm9878081,tt14820742
nm9878081,tt18115928
nm9878081,tt7018644
nm9878082,tt8495298
nm9878082,tt8005088
nm9878082,tt15661950
nm9878083,tt0239195
nm9878083,tt8527842
nm9878084,tt8495302
nm9878085,tt8495302
nm9878086,tt8495302
nm9878087,tt8495302
nm9878088,tt8495302
nm9878089,tt8878996
nm9878089,tt27411794
nm9878089,tt9077192
nm9878089,tt8342636
nm9878090,tt8495302
nm9878091,tt2388986
nm9878092,tt2388986
nm9878093,tt9894202
nm9878093,tt8537520
nm9878094,tt27385799
nm9878094,tt13883452
nm9878094,tt15665838
nm9878094,tt21929166
nm9878095,tt8495308
nm9878097,tt8495308
nm9878097,tt21827454
nm9878098,tt3385354
nm9878098,tt8495308
nm9878102,tt8052650
nm9878103,tt7021580
nm9878104,tt7021580
nm9878107,tt8425308
nm9878107,tt14046876
nm9878108,tt8443670
nm9878109,tt2434688
nm9878111,tt8495344
nm9878112,tt8425308
nm9878115,tt17347132
nm9878115,tt10121478
nm9878115,tt16116992
nm9878115,tt20243460
nm9878116,tt8495432
nm9878117,tt6864046
nm9878118,tt3444938
nm9878118,tt6546758
nm9878118,tt8425308
nm9878118,tt9689988
nm9878119,tt8425308
nm9878120,tt8493254
nm9878123,tt8495448
nm9878124,tt8425308
nm9878127,tt8495484
nm9878128,tt24060674
nm9878128,tt8495484
nm9878129,tt28937890
nm9878129,tt8726180
nm9878129,tt22017128
nm9878129,tt22696582
nm9878130,tt8495486
nm9878131,tt8495000
nm9878133,tt8495504
nm9878133,tt1842561
nm9878134,tt8495504
nm9878134,tt0315288
nm9878135,tt8495504
nm9878135,tt21858312
nm9878136,tt1842561
nm9878136,tt8495504
nm9878137,tt3947934
nm9878138,tt10081124
nm9878138,tt8495520
nm9878139,tt8485406
nm9878140,tt14482570
nm9878140,tt20414738
nm9878140,tt13314558
nm9878140,tt10037034
nm9878141,tt12030266
nm9878141,tt8495526
nm9878141,tt0442301
nm9878142,tt8495526
nm9878143,tt8495526
nm9878144,tt8495526
nm9878145,tt8495526
nm9878146,tt8495526
nm9878147,tt8495526
nm9878148,tt8495526
nm9878149,tt8495526
nm9878150,tt8495526
nm9878151,tt8495526
nm9878152,tt8495526
nm9878153,tt8495526
nm9878154,tt8495526
nm9878155,tt24227898
nm9878155,tt8495526
nm9878156,tt8495526
nm9878157,tt8495526
nm9878158,tt8495526
nm9878159,tt8495526
nm9878160,tt8495526
nm9878161,tt8495526
nm9878162,tt8495526
nm9878163,tt8495526
nm9878164,tt8495526
nm9878165,tt8495526
nm9878166,tt9363864
nm9878166,tt4375688
nm9878166,tt9543180
nm9878166,tt8407404
nm9878168,tt8775742
nm9878169,tt14077726
nm9878169,tt8101932
nm9878169,tt15745334
nm9878169,tt23897524
nm9878171,tt8495534
nm9878172,tt8495534
nm9878173,tt8495534
nm9878174,tt7230418
nm9878174,tt8495546
nm9878175,tt8495548
nm9878176,tt8495548
nm9878177,tt8495548
nm9878178,tt8495548
nm9878179,tt8495548
nm9878181,tt8495548
nm9878182,tt4401570
nm9878182,tt7921248
nm9878183,tt8495550
nm9878184,tt8495550
nm9878185,tt1982959
nm9878186,tt1982959
nm9878187,tt1982959
nm9878188,tt0220212
nm9878188,tt1982959
nm9878189,tt1982959
nm9878190,tt8495554
nm9878190,tt28363516
nm9878190,tt8832114
nm9878192,tt8507250
nm9878192,tt8500128
nm9878192,tt8499838
nm9878192,tt8500056
nm9878193,tt8495576
nm9878194,tt5371168
nm9878195,tt5371168
nm9878196,tt1982959
nm9878197,tt1982959
nm9878198,tt1982959
nm9878199,tt1982959
nm9878200,tt8495588
nm9878200,tt10550708
nm9878201,tt8495588
nm9878202,tt8495588
nm9878203,tt11261062
nm9878203,tt12951932
nm9878203,tt22178922
nm9878203,tt27327494
nm9878204,tt8060640
nm9878204,tt15548462
nm9878204,tt21100400
nm9878204,tt8495588
nm9878205,tt8495588
nm9878205,tt9244502
nm9878205,tt13557214
nm9878206,tt8495590
nm9878207,tt8495590
nm9878208,tt8495590
nm9878209,tt8495590
nm9878210,tt18225998
nm9878210,tt9024590
nm9878210,tt8201170
nm9878210,tt0482346
nm9878211,tt1982959
nm9878212,tt1982959
nm9878213,tt1982959
nm9878214,tt1982959
nm9878215,tt1982959
nm9878216,tt1982959
nm9878217,tt8495600
nm9878218,tt7502158
nm9878219,tt8495610
nm9878220,tt8495610
nm9878221,tt7195416
nm9878222,tt1982959
nm9878223,tt1982959
nm9878224,tt11703902
nm9878224,tt8495620
nm9878225,tt11703902
nm9878225,tt8495620
nm9878226,tt13826760
nm9878226,tt8422628
nm9878227,tt8422628
nm9878227,tt8211276
nm9878227,tt13826760
nm9878228,tt8422628
nm9878229,tt8422628
nm9878230,tt8422628
nm9878230,tt13826760
nm9878231,tt13826760
nm9878231,tt8422628
nm9878232,tt12790372
nm9878232,tt12792888
nm9878235,tt8495626
nm9878236,tt8495626
nm9878237,tt22801038
nm9878237,tt8495626
nm9878238,tt8495626
nm9878239,tt8495626
nm9878240,tt8495626
nm9878241,tt8495626
nm9878242,tt8495626
nm9878243,tt5969928
nm9878243,tt8355812
nm9878243,tt10697680
nm9878243,tt8490510
nm9878244,tt8495634
nm9878244,tt11421376
nm9878244,tt8495730
nm9878245,tt5651032
nm9878246,tt0158417
nm9878246,tt12987728
nm9878246,tt0389673
nm9878246,tt2452062
nm9878247,tt0158417
nm9878247,tt1943898
nm9878247,tt2328418
nm9878247,tt0401916
nm9878248,tt25380658
nm9878248,tt11564982
nm9878248,tt25380594
nm9878248,tt8502396
nm9878249,tt8495648
nm9878249,tt8502396
nm9878250,tt8495648
nm9878252,tt5651032
nm9878253,tt8495000
nm9878254,tt8495014
nm9878254,tt8495000
nm9878255,tt8495660
nm9878255,tt14273546
nm9878256,tt8547132
nm9878256,tt8547004
nm9878256,tt8495660
nm9878257,tt0321897
nm9878257,tt0377721
nm9878257,tt0419677
nm9878258,tt9584786
nm9878258,tt8710116
nm9878258,tt3110958
nm9878258,tt8228264
nm9878259,tt8495668
nm9878259,tt9587766
nm9878263,tt8495000
nm9878264,tt8495000
nm9878265,tt8495000
nm9878266,tt8495000
nm9878267,tt8495000
nm9878268,tt8495000
nm9878269,tt8495000
nm9878270,tt8495000
nm9878271,tt8495000
nm9878272,tt8495674
nm9878273,tt8495674
nm9878274,tt10834220
nm9878274,tt21272852
nm9878274,tt20204996
nm9878274,tt9251798
nm9878275,tt8495680
nm9878276,tt8495680
nm9878277,tt8495680
nm9878278,tt8495680
nm9878279,tt8495680
nm9878280,tt6992978
nm9878281,tt8774708
nm9878282,tt5651032
nm9878283,tt8495682
nm9878284,tt8495682
nm9878285,tt8495682
nm9878286,tt8495682
nm9878287,tt11958696
nm9878287,tt11958710
nm9878287,tt15674900
nm9878287,tt8495682
nm9878288,tt8495682
nm9878289,tt8495682
nm9878290,tt8495682
nm9878291,tt8495682
nm9878292,tt8495682
nm9878293,tt8495684
nm9878293,tt2154843
nm9878293,tt25728426
nm9878294,tt8495684
nm9878295,tt8495684
nm9878296,tt13286658
nm9878296,tt21874038
nm9878296,tt8495684
nm9878297,tt8495684
nm9878298,tt2247207
nm9878298,tt15471722
nm9878298,tt8495684
nm9878298,tt9668358
nm9878299,tt8495684
nm9878299,tt25728426
